"philhealth_pmcc","philhealth_accre"
"D00041","D01000413"
"D00055","D01000555"
"D00109","D01001098"
"D00117","D01001170"
"D00128","D01001287"
"Z00409","D01023786"
"Z04529","D01027909"
"Z04700","D01028079"
"Z05278","D01028657"
"Z05703","D01029083"
"Z05873","D01029253"
"Z05874","D01029254"
"Z05882","D01029262"
"Z05917","D01029297"
"D00077","D02000779"
"D00096","D02000968"
"D00111","D02001110"
"Z03561","D02026942"
"Z05071","D02028450"
"Z05541","D02028922"
"D00019","D03000197"
"D00023","D03000239"
"D00030","D03000306"
"D00032","D03000326"
"D00036","D03000366"
"D00039","D03000391"
"D00045","D03000453"
"D00073","D03000739"
"D00074","D03000744"
"D00082","D03000826"
"D00088","D03000886"
"D00089","D03000891"
"D00102","D03001023"
"D00104","D03001043"
"D00105","D03001058"
"D00107","D03001078"
"D00113","D03001130"
"D00118","D03001185"
"D00126","D03001267"
"Z00580","D03023960"
"Z00581","D03023961"
"Z03590","D03026971"
"Z03710","D03027091"
"Z03985","D03027366"
"Z04504","D03027884"
"Z04692","D03028071"
"Z04810","D03028189"
"Z04811","D03028190"
"Z04898","D03028277"
"Z05044","D03028423"
"Z05145","D03028524"
"Z05410","D03028791"
"Z05576","D03028957"
"Z05577","D03028958"
"Z05578","D03028959"
"Z05744","D03029124"
"Z05807","D03029187"
"Z05857","D03029237"
"Z05941","D03029321"
"Z05971","D03029351"
"D00025","D05000259"
"D00026","D05000264"
"Z00110","D05023486"
"Z03718","D05027099"
"Z03917","D05027298"
"Z04677","D05028056"
"Z05904","D05029284"
"D00037","D06000371"
"D00056","D06000560"
"D00059","D06000595"
"D00099","D06000993"
"600136","D06022704"
"Z03943","D06027324"
"Z04092","D06027473"
"Z05079","D06028458"
"Z05080","D06028459"
"Z05218","D06028597"
"Z05939","D06029319"
"D00005","D07000055"
"D00058","D07000580"
"D00078","D07000784"
"D00087","D07000871"
"D00092","D07000928"
"Z04763","D07028142"
"Z05114","D07028493"
"Z05560","D07028941"
"Z05561","D07028942"
"Z05691","D07029071"
"Z05856","D07029236"
"Z05931","D07029311"
"D00085","D08000851"
"D00095","D08000953"
"D00127","D08001272"
"Z05729","D08029109"
"Z05775","D08029155"
"Z05824","D08029204"
"Z05836","D08029216"
"Z03446","D09026827"
"Z05944","D09029324"
"D00054","D10000540"
"D00100","D10001003"
"Z04023","D10027404"
"Z05582","D10028963"
"Z05788","D10029168"
"D00006","D11000060"
"D00012","D11000122"
"D00061","D11000617"
"D00066","D11000662"
"D00125","D11001252"
"D00129","D11001292"
"Z03524","D11026905"
"Z04068","D11027449"
"Z04236","D11027618"
"Z05306","D11028685"
"Z05597","D11028978"
"D00115","D12001150"
"D00124","D12001247"
"Z04075","D12027456"
"D00052","D13000520"
"D00060","D13000602"
"D00067","D13000677"
"Z04430","D13027810"
"D00035","D14000351"
"D00051","D14000515"
"Z05456","D14028837"
"D00062","D41000622"
"D00072","D41000724"
"D00075","D41000759"
"D00079","D41000799"
"D00103","D41001038"
"D00114","D41001145"
"D00120","D41001207"
"D00121","D41001212"
"D00122","D41001227"
"Z03970","D41027351"
"Z04153","D41027535"
"Z04326","D41027706"
"Z04387","D41027767"
"Z05165","D41028544"
"Z05303","D41028682"
"Z05568","D41028949"
"Z05621","D41029001"
"Z05622","D41029002"
"Z05841","D41029221"
"Z05922","D41029302"
"Z05968","D41029348"
"Z05970","D41029350"
"Z05993","D41029373"
"D00020","D42000204"
"D00028","D42000284"
"Z03836","D42027217"
"Z04844","D42028223"
"Z05158","D42028537"
"Z05334","D42028713"
"Z05641","D42029021"
"Z05648","D42029028"
"Z05887","D42029267"
"D00002","D91000020"
"D00007","D91000075"
"D00009","D91000095"
"D00013","D91000137"
"D00031","D91000311"
"D00034","D91000346"
"D00038","D91000386"
"D00063","D91000637"
"D00132","D91001329"
"D00133","D91001334"
"Z00052","D91023411"
"Z00067","D91023427"
"Z00093","D91023468"
"Z00466","D91023842"
"Z00467","D91023843"
"Z03885","D91027266"
"Z03914","D91027295"
"Z03930","D91027311"
"Z04065","D91027446"
"Z04161","D91027543"
"Z04452","D91027832"
"Z04667","D91028046"
"Z04696","D91028075"
"Z05587","D91028968"
"Z05757","D91029137"
"Z05842","D91029222"
"Z05880","D91029260"
"D00001","D92000015"
"D00021","D92000219"
"D00043","D92000433"
"D00044","D92000448"
"D00046","D92000468"
"D00048","D92000488"
"D00050","D92000500"
"D00070","D92000704"
"D00093","D92000933"
"D00101","D92001018"
"D00123","D92001232"
"D00130","D92001309"
"D00131","D92001314"
"D00135","D92001354"
"Z00051","D92023410"
"Z00054","D92023413"
"Z00072","D92023432"
"Z00142","D92023518"
"Z00159","D92023535"
"Z03203","D92026583"
"Z04393","D92027773"
"Z04782","D92028161"
"Z05224","D92028603"
"Z05636","D92029016"
"Z05794","D92029174"
"Z05869","D92029249"
"Z05950","D92029330"
"D00003","D93000035"
"D00008","D93000080"
"D00014","D93000142"
"D00016","D93000162"
"D00018","D93000182"
"D00022","D93000224"
"D00033","D93000331"
"D00040","D93000408"
"D00042","D93000428"
"D00047","D93000473"
"D00053","D93000535"
"D00064","D93000642"
"D00065","D93000657"
"D00068","D93000682"
"D00076","D93000764"
"D00081","D93000811"
"D00084","D93000846"
"D00091","D93000913"
"D00094","D93000948"
"D00097","D93000973"
"D00098","D93000988"
"D00108","D93001083"
"D00110","D93001105"
"D00116","D93001165"
"D00119","D93001190"
"D00134","D93001349"
"Z00151","D93023527"
"Z00625","D93024005"
"Z00626","D93024006"
"Z03361","D93026742"
"Z03375","D93026756"
"Z04289","D93027669"
"Z04583","D93027963"
"Z04864","D93028243"
"Z04984","D93028363"
"Z05138","D93028517"
"Z05377","D93028758"
"Z05378","D93028759"
"Z05426","D93028807"
"Z05499","D93028880"
"Z05586","D93028967"
"Z05656","D93029036"
"Z05949","D93029329"
"30102","H01000408"
"30104","H01000413"
"30137","H01000453"
"30139","H01000473"
"30227","H01000488"
"30401","H01000493"
"30501","H01000500"
"30526","H01000520"
"30801","H01000535"
"31003","H01000540"
"31501","H01000560"
"31726","H01000575"
"40101","H01000595"
"40127","H01000602"
"40132","H01000642"
"40133","H01000657"
"40134","H01000662"
"40138","H01000697"
"40327","H01000719"
"40329","H01000724"
"40501","H01000739"
"40926","H01000744"
"41026","H01000759"
"41101","H01000764"
"41126","H01000779"
"41328","H01000784"
"41330","H01000806"
"41901","H01000826"
"42301","H01000831"
"42801","H01000846"
"42926","H01000851"
"43301","H01000871"
"50102","H01000886"
"50126","H01000891"
"50127","H01000908"
"50128","H01000913"
"50201","H01000928"
"50701","H01000933"
"50726","H01000948"
"50727","H01000953"
"51101","H01000973"
"51701","H01001018"
"52001","H01001023"
"52201","H01001038"
"70103","H01001105"
"70127","H01001110"
"70129","H01001125"
"70131","H01001145"
"70132","H01001150"
"70135","H01001170"
"70138","H01001190"
"70139","H01001207"
"70140","H01001212"
"70228","H01001232"
"70601","H01001267"
"70626","H01001272"
"70826","H01001287"
"70901","H01001292"
"71101","H01001309"
"71428","H01001314"
"71526","H01001349"
"71601","H01001354"
"72127","H01001374"
"72401","H01001389"
"72427","H01001394"
"72428","H01001401"
"72601","H01001416"
"73502","H01001441"
"73601","H01001456"
"73701","H01001461"
"73730","H01001476"
"73928","H01001503"
"73931","H01001523"
"74001","H01001538"
"74027","H01001558"
"74529","H01001583"
"100101","H01001598"
"100201","H01001605"
"73827","H01019790"
"73726","H01019832"
"43326","H01019989"
"40226","H01020008"
"74028","H01020013"
"42201","H01020028"
"70926","H01020399"
"40139","H01020548"
"71901","H01020553"
"70226","H01020824"
"40128","H01020844"
"70927","H01021163"
"73526","H01021225"
"74030","H01021367"
"70429","H01021469"
"74701","H01021474"
"70201","H01021489"
"73731","H01021705"
"310026","H01021730"
"41332","H01021892"
"70142","H01022099"
"72301","H01022248"
"41333","H01022355"
"74501","H01022457"
"31727","H01022691"
"50129","H01022695"
"70231","H01022713"
"32001","H01022731"
"72101","H01022742"
"71626","H01022775"
"30140","H01022829"
"73326","H01022836"
"LX0057","H01023018"
"LX0105","H01023099"
"LX0007","H01023158"
"LX0099","H01023247"
"LX0102","H01023310"
"Z00128","H01023504"
"Z00165","H01023542"
"Z00633","H01024013"
"Z03237","H01026617"
"Z03260","H01026640"
"Z03678","H01027059"
"Z03833","H01027214"
"Z04651","H01028029"
"Z04672","H01028051"
"Z04674","H01028053"
"110102","H02001610"
"110103","H02001625"
"110127","H02001630"
"110130","H02001650"
"110131","H02001665"
"110201","H02001685"
"110501","H02001690"
"110602","H02001707"
"111102","H02001727"
"111301","H02001732"
"111701","H02001747"
"111801","H02001752"
"111832","H02001814"
"112101","H02001829"
"112126","H02001834"
"112402","H02001854"
"112901","H02001889"
"130101","H02001976"
"130131","H02001981"
"130132","H02001996"
"130301","H02002006"
"130901","H02002031"
"131201","H02002046"
"131303","H02002066"
"131331","H02002108"
"131332","H02002113"
"131333","H02002128"
"131601","H02002133"
"131803","H02002153"
"131929","H02002168"
"131930","H02002173"
"132202","H02002188"
"132226","H02002193"
"132228","H02002215"
"132232","H02002240"
"132233","H02002255"
"132427","H02002260"
"132526","H02002275"
"132701","H02002295"
"132727","H02002317"
"132728","H02002322"
"132831","H02002342"
"150103","H02002531"
"150602","H02002546"
"150802","H02002551"
"151030","H02002566"
"151202","H02002571"
"160101","H02002586"
"160201","H02002591"
"160303","H02002608"
"160401","H02002613"
"130102","H02019807"
"332626","H02020135"
"133101","H02020140"
"111830","H02020155"
"110801","H02020160"
"132729","H02020257"
"150701","H02020568"
"131327","H02020839"
"131931","H02021021"
"132730","H02021210"
"131804","H02021954"
"151031","H02021969"
"131334","H02022146"
"110626","H02022611"
"130701","H02022686"
"132234","H02022689"
"112526","H02022690"
"132235","H02022789"
"110134","H02022790"
"132627","H02022791"
"133001","H02022821"
"111901","H02022835"
"LX0091","H02022908"
"LX0119","H02023022"
"LX0118","H02023102"
"LX0092","H02023244"
"LX0117","H02023250"
"Z00015","H02023373"
"Z00016","H02023374"
"Z00017","H02023375"
"Z00027","H02023385"
"Z00028","H02023386"
"LX0134","H02023434"
"LX0090","H02023444"
"Z00200","H02023577"
"Z00367","H02023744"
"Z00669","H02024049"
"Z03384","H02026765"
"Z03603","H02026984"
"Z03610","H02026991"
"Z04270","H02027652"
"Z04777","H02028156"
"Z04981","H02028360"
"Z04982","H02028361"
"Z05746","H02029126"
"Z05800","H02029180"
"190101","H03002628"
"190127","H03002633"
"190128","H03002648"
"190129","H03002653"
"190130","H03002668"
"190201","H03002673"
"190702","H03002700"
"190901","H03002720"
"191001","H03002735"
"200102","H03002740"
"200127","H03002755"
"200130","H03002775"
