"regcode","provcode","citycode","cityname","nscb_city_code","nscb_city_name","cityclassification","chartered","addedby","UserLevelID","dateupdated","status"
"01","0155","015539","SANTA MARIA","015539","SANTA MARIA",,,,,,
"01","0155","015540","SANTO TOMAS","015540","SANTO TOMAS",,,,,,
"01","0155","015541","SISON","015541","SISON",,,,,,
"01","0155","015542","SUAL","015542","SUAL",,,,,,
"01","0155","015543","TAYUG","015543","TAYUG",,,,,,
"01","0155","015544","UMINGAN","015544","UMINGAN",,,,,,
"01","0155","015545","URBIZTONDO","015545","URBIZTONDO",,,,,,
"01","0155","015546","CITY OF URDANETA","015546","CITY OF URDANETA",,,,,,
"01","0155","015547","VILLASIS","015547","VILLASIS",,,,,,
"01","0155","015548","LAOAC","015548","LAOAC",,,,,,
"02","0209","020901","BASCO (Capital)","020901","BASCO (Capital)",,,,,,
"02","0209","020902","ITBAYAT","020902","ITBAYAT",,,,,,
"02","0209","020903","IVANA","020903","IVANA",,,,,,
"02","0209","020904","MAHATAO","020904","MAHATAO",,,,,,
"02","0209","020905","SABTANG","020905","SABTANG",,,,,,
"02","0209","020906","UYUGAN","020906","UYUGAN",,,,,,
"02","0215","021501","ABULUG","021501","ABULUG",,,,,,
"02","0215","021502","ALCALA","021502","ALCALA",,,,,,
"02","0215","021503","ALLACAPAN","021503","ALLACAPAN",,,,,,
"02","0215","021504","AMULUNG","021504","AMULUNG",,,,,,
"02","0215","021505","APARRI","021505","APARRI",,,,,,
"02","0215","021506","BAGGAO","021506","BAGGAO",,,,,,
"02","0215","021507","BALLESTEROS","021507","BALLESTEROS",,,,,,
"02","0215","021508","BUGUEY","021508","BUGUEY",,,,,,
"02","0215","021509","CALAYAN","021509","CALAYAN",,,,,,
"02","0215","021510","CAMALANIUGAN","021510","CAMALANIUGAN",,,,,,
"02","0215","021511","CLAVERIA","021511","CLAVERIA",,,,,,
"02","0215","021512","ENRILE","021512","ENRILE",,,,,,
"02","0215","021513","GATTARAN","021513","GATTARAN",,,,,,
"02","0215","021514","GONZAGA","021514","GONZAGA",,,,,,
"02","0215","021515","IGUIG","021515","IGUIG",,,,,,
"02","0215","021516","LAL-LO","021516","LAL-LO",,,,,,
"02","0215","021517","LASAM","021517","LASAM",,,,,,
"02","0215","021518","PAMPLONA","021518","PAMPLONA",,,,,,
"02","0215","021519","PEÃ‚ÂABLANCA","021519","PEÃ‚ÂABLANCA",,,,,,
"02","0215","021520","PIAT","021520","PIAT",,,,,,
"02","0215","021521","RIZAL","021521","RIZAL",,,,,,
"02","0215","021522","SANCHEZ-MIRA","021522","SANCHEZ-MIRA",,,,,,
"02","0215","021523","SANTA ANA","021523","SANTA ANA",,,,,,
"02","0215","021524","SANTA PRAXEDES","021524","SANTA PRAXEDES",,,,,,
"02","0215","021525","SANTA TERESITA","021525","SANTA TERESITA",,,,,,
"02","0215","021526","SANTO NIÃ‚ÂO (FAIRE)","021526","SANTO NIÃ‚ÂO (FAIRE)",,,,,,
"02","0215","021527","SOLANA","021527","SOLANA",,,,,,
"02","0215","021528","TUAO","021528","TUAO",,,,,,
"02","0215","021529","TUGUEGARAO CITY(Capital)","021529","TUGUEGARAO CITY(Capital)",,,,,,
"02","0231","023101","ALICIA","023101","ALICIA",,,,,,
"02","0231","023102","ANGADANAN","023102","ANGADANAN",,,,,,
"02","0231","023103","AURORA","023103","AURORA",,,,,,
"02","0231","023104","BENITO SOLIVEN","023104","BENITO SOLIVEN",,,,,,
"02","0231","023105","BURGOS","023105","BURGOS",,,,,,
"02","0231","023106","CABAGAN","023106","CABAGAN",,,,,,
"02","0231","023107","CABATUAN","023107","CABATUAN",,,,,,
"02","0231","023108","CITY OF CAUAYAN","023108","CITY OF CAUAYAN",,,,,,
"02","0231","023109","CORDON","023109","CORDON",,,,,,
"02","0231","023110","DINAPIGUE","023110","DINAPIGUE",,,,,,
"02","0231","023111","DIVILICAN","023111","DIVILICAN",,,,,,
"02","0231","023112","ECHAGUE","023112","ECHAGUE",,,,,,
"02","0231","023113","GAMU","023113","GAMU",,,,,,
"02","0231","023114","ILAGAN (Capital)","023114","ILAGAN (Capital)",,,,,,
"02","0231","023115","JONES","023115","JONES",,,,,,
"02","0231","023116","LUNA","023116","LUNA",,,,,,
