"id","growth_weight_months","growth_weight_sever_under","growth_weight_under_from","growth_weight_under_to","growth_weight_normal_from","growth_weight_normal_to","growth_weight_over","growth_weight_sex"
"37","36","10.0","10.1","11.2","11.3","18.3","18.4","M"
"38","37","10.1","10.2","11.3","11.4","18.6","18.7","M"
"39","38","10.2","10.3","11.4","11.5","18.8","18.9","M"
"40","39","10.3","10.4","11.5","11.6","19.0","19.1","M"
"41","40","10.4","10.5","11.7","11.8","19.3","19.4","M"
"42","41","10.5","10.6","11.8","11.9","19.5","19.6","M"
"43","42","10.6","10.7","11.9","12.0","19.7","19.8","M"
"44","43","10.7","10.8","12.0","12.1","20.0","20.1","M"
"45","44","10.8","10.9","12.1","12.2","20.2","20.3","M"
"46","45","10.9","11.0","12.3","12.4","20.5","20.6","M"
"47","46","11.0","11.1","12.4","12.5","20.7","20.8","M"
"48","47","11.1","11.2","12.5","12.6","20.9","21.0","M"
"49","48","11.2","11.3","12.6","12.7","21.2","21.3","M"
