"zipcode","citycode"
"5017","63019"
"5018","63005"
"5019","63014"
"5021","63045"
"5023","63030"
"5024","63040"
"5025","63041"
"5026","63028"
"5027","63046"
"5028","63002"
"5029","63021"
"5030","63029"
"5031","63012"
"5032","63031"
"5033","63004"
"5034","63023"
"5035","63016"
"5036","63039"
"5037","63035"
"5038","63017"
"5039","63042"
"5040","63013"
"5041","63010"
"5042","63025"
"5043","63027"
"5044","67901"
"5045","67902"
"5046","67903"
"5047","67904"
"5100","175110"
"5101","175105"
"5102","175102"
"5104","175109"
"5105","175111"
"5106","175106"
"5107","175107"
"5108","175101"
"5109","175104"
"5110","175108"
"5111","175103"
"5200","175205"
"5201","175201"
"5203","175211"
"5204","175208"
"5205","175215"
"5206","175210"
"5207","175214"
"5208","175209"
"5209","175206"
"5210","175202"
"5211","175203"
"5212","175212"
"5213","175207"
"5300","175316"
"5302","175301"
"5304","45637"
"5305","175306"
"5309","175318"
"5310","175311"
"5311","175303"
"5312","175305"
"5314","175313"
"5315","175322"
"5316","175309"
"5317","175307"
"5318","175310"
"5319","175314"
"5320","175302"
"5321","175308"
"5323","175323"
"5324","175324"
"5400","54111"
"5401","54113"
"5402","54121"
"5403","54108"
"5404","54115"
"5405","54105"
"5406","54116"
"5407","54109"
"5408","54117"
"5409","54106"
"5410","54112"
"5412","54103"
"5413","54102"
"5414","54101"
"5415","54104"
"5417","54119"
"5418","54114"
"5419","54107"
"5420","54120"
"5500","175908"
"5502","175917"
"5503","175904"
"5504","175912"
"5505","175909"
"5506","175916"
"5508","175915"
"5510","175914"
"5514","175906"
"5515","175902"
"5516","175905"
"5600","60407"
"5601","60403"
"5602","60409"
"5603","60410"
"5604","60416"
"5605","60408"
"5607","60414"
"5608","60412"
"5609","60405"
"5610","60415"
"5611","60411"
"5612","60417"
"5613","60406"
"5614","60402"
"5615","60404"
"5616","60401"
"5700","60613"
"5701","60603"
"5702","60612"
"5703","60618"
"5704","60604"
"5706","60413"
"5707","15523"
"5709","60615"
"5710","21517"
"5711","60605"
"5712","60611"
"5713","60616"
"5714","60614"
"5715","60608"
"5716","60607"
"5717","60601"
"5800","61914"
"5801","61909"
"5802","61912"
"5803","61913"
"5804","61911"
"5805","61905"
"5806","61915"
"5807","61908"
"5808","61906"
"5809","61907"
"5810","61902"
"5811","61901"
"5812","61904"
"5813","61903"
"5814","61917"
"5815","61910"
"5816","61916"
"6000","72217"
"6001","72219"
"6002","72227"
"6003","72218"
"6004","72216"
"6005","72215"
"6007","72247"
"6009","72248"
"6010","72211"
"6012","72221"
"6014","72230"
"6015","72226"
"6018","72241"
"6020","72246"
"6022","72222"
"6023","72202"
"6028","72225"
"6029","72229"
"6030","72203"
"6031","72207"
"6032","72233"
"6033","72201"
"6034","72239"
"6036","72210"
"6037","72234"
"6039","72237"
"6040","72204"
"6041","72208"
"6043","72209"
"6044","72249"
"6046","72232"
"6047","72244"
"6049","72238"
"6051","72253"
"6053","72228"
"6101","64502"
"6103","64530"
"6104","64525"
"6106","64511"
"6107","64503"
"6108","64510"
"6109","64513"
"6110","64506"
"6111","64515"
"6112","64507"
"6113","64527"
"6114","64512"
"6115","64528"
"6116","64526"
"6118","64508"
"6119","64531"
"6120","64518"
"6124","64504"
"6125","74623"
"6126","64505"
"6127","64524"
"6128","64514"
"6129","30812"
"6130","64516"
"6131","34919"
"6132","64519"
"6200","74620"
"6202","74617"
"6203","74601"
"6204","74621"
"6205","74616"
"6206","74604"
"6207","74611"
"6212","74612"
"6218","74625"
"6219","74619"
"6220","74618"
"6221","74606"
"6222","74605"
"6223","74608"
"6224","74624"
"6225","76106"
"6226","76102"
"6227","76105"
"6228","76103"
"6229","76104"
"6230","76101"
"6300","71242"
"6301","71205"
"6304","71227"
"6305","71220"
"6306","71247"
"6307","71222"
"6309","71221"
"6310","71223"
"6311","71203"
"6312","71211"
"6313","71231"
"6314","71202"
"6315","71246"
"6316","71229"
"6317","71208"
"6318","71207"
"6319","71212"
"6322","71217"
"6325","71243"
"6326","71248"
"6328","71210"
"6333","71209"
"6334","71226"
"6338","71241"
"6340","71233"
"6341","71216"
"6342","71206"
"6343","71213"
"6344","71218"
"6345","71237"
"6346","71235"
"6400","84805"
"6401","84803"
"6402","84819"
"6403","84824"
"6404","84811"
"6405","84801"
"6406","84823"
"6407","84817"
"6408","84804"
"6409","84818"
"6410","84802"
"6411","84808"
"6412","84812"
"6413","84815"
"6414","84822"
"6415","84820"
"6416","84816"
"6417","84813"
"6418","84806"
"6419","84821"
"6420","84810"
"6421","84814"
"6422","84807"
"6423","84809"
"6500","83747"
"6501","83739"
"6502","83748"
"6503","83749"
"6504","83746"
"6505","83718"
"6507","83735"
"6510","83701"
"6511","83724"
"6512","83731"
"6514","83741"
"6515","83717"
"6516","83710"
"6517","83702"
"6519","83706"
"6520","83705"
"6521","83708"
"6522","83721"
"6523","83720"
"6524","83719"
"6525","83707"
"6526","83734"
"6531","83726"
"6532","83733"
"6534","83713"
"6535","83742"
"6536","83745"
"6537","83751"
"6539","83722"
"6541","83736"
"6549","87802"
"6561","87801"
"6563","87807"
"6567","87803"
"6600","86407"
"6602","86410"
"6603","86409"
"6604","86402"
"6605","86418"
"6606","86417"
"6609","86404"
"6610","86401"
"6612","86406"
"6613","86413"
"6614","86411"
"6616","86403"
"6618","86419"
"6702","86009"
"6706","86007"
"6714","86015"
"6715","86004"
"6717","86021"
"6722","86006"
"6800","82604"
"6801","82603"
"6807","82619"
"6808","82616"
"6809","82609"
"6813","82612"
"6814","82620"
"6815","82622"
"6817","82606"
"6818","82617"
"6822","82601"
"7013","97311"
"7014","97333"
"7015","97307"
"7017","97330"
"7029","97324"
"7042","97343"
"7101","97201"
"7207","104209"
"7300","99701"
"7404","156619"
"7505","157004"
"8003","112406"
"8104","112314"
"8113","112305"
"8203","112504"
"8301","166809"
"8306","166814"
"8402","166715"
"8410","166706"
"8411","168502"
"8414","168504"
"8420","166716"
"8422","166721"
"8511","160309"
"8601","160201"
"8602","160209"
"8604","160208"
"8606","160211"
"8607","160205"
"8608","160210"
"8709","101321"
"8722","101310"
"8802","118206"
"8807","118203"
"8809","118211"
"8810","118202"
"9000","101311"
"9001","104324"
"9004","104306"
"9005","157007"
"9007","104304"
"9098","101804"
"9101","101803"
"9200","103504"
"9202","103507"
"9203","103513"
"9205","103501"
"9206","103512"
"9207","103508"
"9209","103522"
"9210","103503"
"9211","103509"
"9217","103502"
"9317","153629"
"9319","153632"
"9321","153638"
"9403","124714"
"9405","124713"
"9406","124708"
"9408","124702"
"9409","124712"
"9410","124709"
"9412","124711"
"9413","124701"
"9500","126303"
"9501","128001"
"9506","126306"
"9508","126311"
"9515","128005"
"9600","129804"
"9601","153807"
"9604","153811"
"9605","153812"
"9606","153801"
"9607","153806"
"9608","153827"
"9612","153816"
"9613","153809"
"9618","153819"
"9621","153828"
"9705","153622"
"9706","153640"
"9709","153610"
"9710","153621"
"9713","153624"
"9715","153634"
"9716","153630"
"9800","126511"
"9801","126502"
"9803","126507"
"9807","126505"
"9810","126501"
"9816","153823"
