"id","fhudcode","lat","lng"
"18467","DOH000000000000904","11.4899101","122.6010818"
"18468","DOH000000000000906","14.6718597","120.9969864"
"18469","DOH000000000000907","15.5959797","120.9734497"
"18470","DOH000000000000908","14.4340296","120.9976501"
"18471","DOH000000000000909","14.4234600","120.9960022"
"18472","DOH000000000000910","14.0809002","121.1529694"
"18473","DOH000000000000911","14.0859003","121.1367035"
"18474","DOH000000000000913","14.5732899","121.1450424"
"18475","DOH000000000000914","14.4970102","121.0504532"
"18476","DOH000000000000915","14.5354099","121.0688629"
"18477","DOH000000000000916","14.7133904","120.9660110"
"18478","DOH000000000000918","14.6268797","120.9621429"
"18479","DOH000000000000919","14.5101700","121.0345688"
"18480","DOH000000000000920","18.3326797","121.3550415"
"18481","DOH000000000000924","16.0426502","120.2432404"
"18482","DOH000000000000926","16.0258007","120.4783325"
"18483","DOH000000000000928","14.4555197","120.9837265"
"18484","DOH000000000000929","7.4102101","122.3173981"
"18485","DOH000000000000932","15.7131996","120.9044189"
"18486","DOH000000000000933","7.5930099","122.8061371"
"18487","DOH000000000000934","11.4321804","122.5158386"
"18488","DOH000000000000935","7.7345600","126.2982330"
"18489","DOH000000000000938","16.0169907","120.4453812"
"18490","DOH000000000000941","17.3153591","120.4283905"
"18491","DOH000000000000944","16.0742702","120.2608337"
"18492","DOH000000000000947","16.0228500","120.4621964"
"18493","DOH000000000000948","6.9116101","125.4572296"
"18494","DOH000000000000950","17.1872406","120.4641495"
"18495","DOH000000000000951","14.1374197","122.9820328"
"18496","DOH000000000000952","16.4688606","120.3337708"
"18497","DOH000000000000953","11.5258102","122.7896500"
"18498","DOH000000000000954","6.9243302","126.0110321"
"18499","DOH000000000000955","16.0095100","120.3595123"
"18500","DOH000000000000956","13.1510096","123.6423187"
"18501","DOH000000000000957","13.2960196","123.5412598"
"18502","DOH000000000000958","16.2146492","119.5161438"
"18503","DOH000000000000960","15.5942497","120.2619476"
"18504","DOH000000000000962","16.0047703","120.2626419"
"18505","DOH000000000000963","14.1227398","122.9521332"
"18506","DOH000000000000964","6.8040199","125.1816711"
