"regcode","provcode","provname","nscb_prov_code","nscb_prov_name","addedby","UserLevelID","dateupdated","status"
"13","1375","NCR   THIRD DISTRICT","1375","NCR   THIRD DISTRICT","ims","0","8/6/2009 00:00:00","A"
"13","1376","NCR   FOURTH DISTRICT","1376","NCR   FOURTH DISTRICT","ims","0","8/6/2009 00:00:00","A"
"14","1401","ABRA","1401","ABRA","ims","0","8/6/2009 00:00:00","A"
"14","1411","BENGUET","1411","BENGUET","ims","0","8/6/2009 00:00:00","A"
"14","1427","IFUGAO","1427","IFUGAO","ims","0","8/6/2009 00:00:00","A"
"14","1432","KALINGA","1432","KALINGA","ims","0","8/6/2009 00:00:00","A"
"14","1444","MOUNTAIN PROVINCE","1444","MOUNTAIN PROVINCE","ims","0","8/6/2009 00:00:00","A"
"14","1481","APAYAO","1481","APAYAO","ims","0","8/6/2009 00:00:00","A"
"15","1507","BASILAN","1507","BASILAN","ims","0","8/6/2009 00:00:00","A"
"15","1536","LANAO DEL SUR","1536","LANAO DEL SUR","ims","0","8/6/2009 00:00:00","A"
"15","1538","MAGUINDANAO","1538","MAGUINDANAO","ims","0","8/6/2009 00:00:00","A"
"15","1566","SULU","1566","SULU","ims","0","8/6/2009 00:00:00","A"
"15","1570","TAWI-TAWI","1570","TAWI-TAWI","ims","0","8/6/2009 00:00:00","A"
"15","1584","SHARIFF KABUNSUAN","1584","SHARIFF KABUNSUAN","ims","0","8/6/2009 00:00:00","A"
"16","1602","AGUSAN DEL NORTE","1602","AGUSAN DEL NORTE","ims","0","8/6/2009 00:00:00","A"
"16","1603","AGUSAN DEL SUR","1603","AGUSAN DEL SUR","ims","0","8/6/2009 00:00:00","A"
"16","1667","SURIGAO DEL NORTE","1667","SURIGAO DEL NORTE","ims","0","8/6/2009 00:00:00","A"
"16","1668","SURIGAO DEL SUR","1668","SURIGAO DEL SUR","ims","0","8/6/2009 00:00:00","A"
"16","1685","DINAGAT ISLANDS","1685","DINAGAT ISLANDS","ims","0","8/6/2009 00:00:00","A"
"17","1740","MARINDUQUE","1740","MARINDUQUE","ims","0","8/6/2009 00:00:00","A"
"17","1751","OCCIDENTAL MINDORO","1751","OCCIDENTAL MINDORO","ims","0","8/6/2009 00:00:00","A"
"17","1752","ORIENTAL MINDORO","1752","ORIENTAL MINDORO","ims","0","8/6/2009 00:00:00","A"
"17","1753","PALAWAN","1753","PALAWAN","ims","0","8/6/2009 00:00:00","A"
"17","1759","ROMBLON","1759","ROMBLON","ims","0","8/6/2009 00:00:00","A"
